path,category,layer,total_hits,jorge,business_360,revolutia,monk,people,clients_360,notion_ids,hardcoded_paths,cal_com,personal_email
/Users/jorgeguamis/Desktop/.claude/skills/workshop-prep/SKILL.md,PERSONAL,L2-skill,45,24,0,21,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/.claude/skills/workshop-prep/SKILL.md,PERSONAL,L2-skill,45,24,0,21,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/frameworks/Life Map 2026.md,PERSONAL,L5-framework-filled,45,0,18,27,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/05-05-2026.md,PERSONAL,L5-journal,44,2,5,9,2,9,17,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/17-04-2026.md,PERSONAL,L5-journal,44,2,7,4,8,5,18,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/objetivos/Objetivos 2026.md,PERSONAL,L5-context-file,44,0,13,31,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/objetivos/Objetivos 2029.md,PERSONAL,L5-context-file,43,0,32,11,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_Monk/inversión/Monk - Prep Negociación Diego - 09-04-2026.md,PERSONAL,L5-context-file,41,29,1,0,9,2,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_Monk/operativa/Monk - Consultoría Diagnóstico - 03-04-2026.md,PERSONAL,L5-context-file,41,19,3,1,15,3,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/projects/personal-profile-funnel/strategy/Reference Profiles.md,PERSONAL,L5-context-file,41,22,13,6,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/25-04-2026.md,PERSONAL,L5-journal,40,2,5,5,9,3,16,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/activos/LabArmonia/04. Diagnóstico/Auditoría de Procesos/consolidado/Mapa de Herramientas.md,PERSONAL,L5-context-file,39,34,1,0,0,0,4,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/09-02-2026.md,PERSONAL,L5-journal,39,1,2,12,0,0,24,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/13-02-2026.md,PERSONAL,L5-journal,39,0,6,6,0,5,22,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/24-04-2026.md,PERSONAL,L5-journal,39,6,2,8,1,1,21,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/07-04-2026.md,PERSONAL,L5-journal,38,1,3,4,17,4,9,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/11-02-2026.md,PERSONAL,L5-journal,38,7,2,12,0,0,17,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/09-04-2026.md,PERSONAL,L5-journal,37,1,2,2,18,2,12,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_revolutia/formacion/capacitacion-claude-abril-2026/_script-formacion-claude.md,PERSONAL,L5-context-file,36,9,0,26,0,0,1,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/finanzas/Finances.md,PERSONAL,L5-context-file,36,0,15,12,0,0,5,4,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/10-04-2026.md,PERSONAL,L5-journal,35,5,2,5,10,7,6,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/26-03-2026.md,PERSONAL,L5-journal,35,1,9,7,0,3,15,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/360 Consulting.md,PERSONAL,L5-context-file,34,2,13,2,0,2,13,1,0,1,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/activos/LabArmonia/04. Diagnóstico/Auditoría de Procesos/consolidado/Cuellos de Botella.md,PERSONAL,L5-context-file,34,28,0,0,0,0,6,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_Monk/roadmaps/Roadmap Revenue.md,PERSONAL,L5-context-file,34,0,0,0,34,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/12-02-2026.md,PERSONAL,L5-journal,34,5,2,6,0,7,14,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/31-03-2026.md,PERSONAL,L5-journal,34,3,3,10,0,5,13,0,0,0,0
/Users/jorgeguamis/Desktop/.claude/context/system.md,PERSONAL,L1-context,33,14,6,5,0,0,0,6,0,1,1
/Users/jorgeguamis/Desktop/Life OS/.claude/context/system.md,PERSONAL,L1-context,33,14,6,5,0,0,0,6,0,1,1
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/activos/Cuchillas Castillo/04. Diagnóstico/Auditoría de Procesos/consolidado/Oportunidades IA.md,PERSONAL,L5-context-file,33,30,0,0,0,0,3,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/activos/LabArmonia/04. Diagnóstico/Auditoría de Procesos/consolidado/Oportunidades IA.md,PERSONAL,L5-context-file,33,24,2,0,0,0,7,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/leads (pipeline)/Micropolix/Micropolix - Propuesta.md,PERSONAL,L5-context-file,33,5,6,0,0,0,21,0,0,1,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/27-04-2026.md,PERSONAL,L5-journal,33,0,4,10,11,0,8,0,0,0,0
/Users/jorgeguamis/Desktop/.claude/skills/create-contract/SKILL.md,PERSONAL,L2-skill,32,19,6,0,0,0,6,1,0,0,0
/Users/jorgeguamis/Desktop/Life OS/.claude/skills/create-contract/SKILL.md,PERSONAL,L2-skill,32,19,6,0,0,0,6,1,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/360º Consulting.md,PERSONAL,L5-context-file,32,0,13,6,0,2,11,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/04-04-2026.md,PERSONAL,L5-journal,32,2,2,6,0,7,15,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/18-02-2026.md,PERSONAL,L5-journal,32,3,8,16,0,0,5,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/aprendizaje/youtube/22-04-2026 How to Use AI in Your Business in 2026 - Alex Hormozi.md,PERSONAL,L5-context-file,31,5,18,0,0,0,8,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/12-01-2026.md,PERSONAL,L5-journal,31,0,7,19,0,3,2,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/27-01-2026.md,PERSONAL,L5-journal,31,0,2,17,0,4,8,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/28-04-2026.md,PERSONAL,L5-journal,31,4,3,1,12,0,11,0,0,0,0
/Users/jorgeguamis/Desktop/.claude/context/helios-routing.md,PERSONAL,L1-context,30,17,2,7,0,0,0,0,4,0,0
/Users/jorgeguamis/Desktop/.claude/context/notion-registry.md,PERSONAL,L1-context,30,3,10,0,10,1,0,6,0,0,0
/Users/jorgeguamis/Desktop/.claude/skills/weekly-review/SKILL.md,PERSONAL,L2-skill,30,9,12,7,0,0,0,0,0,0,2
/Users/jorgeguamis/Desktop/Life OS/.claude/context/helios-routing.md,PERSONAL,L1-context,30,17,2,7,0,0,0,0,4,0,0
/Users/jorgeguamis/Desktop/Life OS/.claude/context/notion-registry.md,PERSONAL,L1-context,30,3,10,0,10,1,0,6,0,0,0
/Users/jorgeguamis/Desktop/Life OS/.claude/skills/weekly-review/SKILL.md,PERSONAL,L2-skill,30,9,12,7,0,0,0,0,0,0,2
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/sops/SOP - Cierre de Proyecto.md,PERSONAL,L5-context-file,30,12,18,0,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/08-04-2026.md,PERSONAL,L5-journal,30,2,8,2,3,5,10,0,0,0,0
